ko,en,ja,zh-TW,th,zh-CN,id,tl,ms,hi,vi,af,ak,sq,am,ar,hy,as,ay,az,bm,eu,be,bn,bho,bs,bg,ca,ceb,ny,co,hr,cs,da,dv,doi,nl,eo,et,ee,fi,fr,fy,gl,lg,ka,de,gom,el,gn,gu,ht,ha,haw,hmn,hu,is,ig,ilo,ga,it,kn,kk,km,rw,kri,ku,ckb,ky,lo,la,lv,ln,lt,lb,mk,mai,mg,ml,mt,mni-Mtei,mi,mr,lus,mn,my,ne,nso,no,or,om,ps,fa,pl,pt,pa,qu,ro,ru,sm,sa,gd,sr,st,sn,sd,si,sk,sl,so,es,su,sw,sv,tg,ta,tt,te,ti,ts,tr,tk,uk,ur,ug,uz,cy,xh,yi,yo,zu,he,jv
{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1},{1}
{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2},{2}
{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3},{3}
{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4},{4}
{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5},{5}
{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6},{6}
{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7},{7}
{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8},{8}
{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9},{9}
{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10},{10}
