product_id,t_name,price_type,price,price_dollar,product_content,icon,max_buy_count,max_buy_term
80001,다이아몬드 100개,money,1000,0.99,"cash;100, topaz;1",,,
80002,다이아몬드 500개,money,4000,3.99,"cash;500, topaz;3",,,
80003,다이아몬드 1050개,money,10000,9.99,"cash;1050, topaz;10",,,
80004,다이아몬드 3300개,money,30000,29.99,"cash;3300, topaz;15",,,
80005,다이아몬드 5600개,money,50000,49.99,"cash;5600, topaz;30",,,
80006,다이아몬드 11500개,money,100000,99.99,"cash;11500, topaz;45",,,
81001,다이아몬드 100개 (1+1),money,1000,0.99,"cash;200, topaz;2",,1,permanent
81002,다이아몬드 500개 (1+1),money,4000,3.99,"cash;1000, topaz;6",,1,permanent
81003,다이아몬드 1050개 (1+1),money,10000,9.99,"cash;2100, topaz;20",,1,permanent
81004,다이아몬드 3300개 (1+1),money,30000,29.99,"cash;6600, topaz;30",,1,permanent
81005,다이아몬드 5600개 (1+1),money,50000,49.99,"cash;11200, topaz;60",,1,permanent
81006,다이아몬드 11500개 (1+1),money,100000,99.99,"cash;23000, topaz;90",,1,permanent
