product_id,t_name,t_desc,price_type,price,product_content,icon,max_buy_count,max_buy_term
10001,골드 10000개,각종 경제 활동의 중심 재화,cash,50,gold;10000,res/ui/icon/item/shop_gold_01.png,,
10002,골드 50000개,각종 경제 활동의 중심 재화,cash,250,gold;50000,res/ui/icon/item/shop_gold_02.png,,
10003,골드 105000개,각종 경제 활동의 중심 재화,cash,500,gold;105000,res/ui/icon/item/shop_gold_03.png,,
10004,골드 220000개,각종 경제 활동의 중심 재화,cash,1000,gold;220000,res/ui/icon/item/shop_gold_04.png,,
10005,골드 448000개,각종 경제 활동의 중심 재화,cash,2000,gold;448000,res/ui/icon/item/shop_gold_04.png,,
10006,골드 1150000개,각종 경제 활동의 중심 재화,cash,5000,gold;1150000,res/ui/icon/item/shop_gold_04.png,,
10007,날개 50개,모험 모드 입장권,cash,100,staminas_st;50,res/ui/icon/item/shop_staminas_st_01.png,,
10008,날개 100개,모험 모드 입장권,cash,2000,staminas_st;100,res/ui/icon/item/shop_staminas_st_02.png,,
10009,날개 170개,모험 모드 입장권,cash,250,staminas_st;170,res/ui/icon/item/shop_staminas_st_03.png,,
10010,날개 350개,모험 모드 입장권,cash,500,staminas_st;350,res/ui/icon/item/shop_staminas_st_04.png,,
10011,날개 720개,모험 모드 입장권,cash,1000,staminas_st;720,res/ui/icon/item/shop_staminas_st_04.png,,
20001,날개 100개,모험 모드 입장권,amethyst,100,staminas_st;100,res/ui/icon/item/shop_staminas_st_04.png,,
30001,기적의알,,topaz,200,egg;703002;1,,,
30002,신화의알,,topaz,100,egg;703001;1,,,
40001,환상의알,,mileage,100,egg;703004;1,,,
40002,초월의알,,mileage,200,egg;703003;1,,,
40003,기적의 알,,mileage,300,egg;703002;1,,,
40004,전설의 알,,mileage,500,egg;703005;1,,,
50001,수호의 알,,honor,300,egg;703012;1,,,
50002,맹수의 알,,honor,300,egg;703013;1,,,
50003,치유의 알,,honor,300,egg;703014;1,,,
50004,보호의 알,,honor,300,egg;703015;1,,,
50005,영웅의 알,,honor,500,egg;703006;1,,,
50006,전설의 알,,honor,2500,egg;703005;1,,,
60001,환상의알,,capsule,500,egg;703004;1,,,
60002,보호의 알,,capsule,1000,egg;703015;1,,,
60003,영웅의 알,,capsule,1500,egg;703006;1,,,
