page,effect_1,effect_2,effect_3,auto_skip,bg,bgm,bgm_action,sound,char,t_char_name,char_pos,char_action,char_face,t_text,t_text_mono
1,title;1.빛의 기둥 A,skip_disable,,3,,,,,,,,,,,
2,black;0,fadein,skip_enable,,res/bg/ui/dragon_bg_earth/dragon_bg_earth.vrp,,,,,,,,,,
3,,,,,,,,,goni_i,고니,left,,,좋아! 이 임무만 무사히 완수하면 \\n오늘 일은 끝이야.,
4,,,,,,,,,goni_i,고니,left,,,"...잠, 잠깐만. 저건 몬스터?!",
5,,,,,,,,,goni_i,고니,left,,,저 방향에는 분명히 민간인 마을이 있을 텐데….,
6,,,,,,,,,goni_i,고니,left,,,…어째서 몬스터가 인근 마을까지 \\n나타난 거지?,
7,black;0,skip_disable,,2,,,,,,,,,,,
8,flash,,,,,,,,,,,,,,
9,,,,,,,,,nuri_i,부엉이(교체필요),right,,,크르르르...!,
10,,,,,,,,,goni_i,고니,left,,,,...몬스터 무리가 제법 많아 보이는데?!
11,,,,,,,,,goni_i,고니,left,,,...아니! 지금은 사소한 고민을 할 시간이 없어. ,
12,shaking,,,,,,,,goni_i,고니,left,,,이대로 네놈들이 마을을 습격하게 놔두지 않겠어!,
13,,,,,,,,,nuri_i,부엉이(교체필요),right,,,크르르르!!,
14,,,,,,,,,goni_i,고니,left,,,덤비라고! 장차 최고의 테이머가 될\\n이 고니 님이 상대해주지!,
15,black;0.5,skip_disable,,1,,,,,,,,,,,
